Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileTestSuite,,,2018-01-18 16:26:00,2018-01-18 16:28:10,2m - 10.664s,PASSED
,,,,,,
Test Cases/TC04,,,2018-01-18 16:26:00,2018-01-18 16:28:10,2m - 10.259s,PASSED
startApplication,,,2018-01-18 16:26:00,2018-01-18 16:27:08,1m - 7.224s,PASSED
tap,,,2018-01-18 16:27:08,2018-01-18 16:27:10,2.034s,PASSED
hideKeyboard,,,2018-01-18 16:27:10,2018-01-18 16:27:12,2.076s,PASSED
setText,,,2018-01-18 16:27:12,2018-01-18 16:27:20,7.980s,PASSED
tap,,,2018-01-18 16:27:20,2018-01-18 16:27:22,2.128s,PASSED
hideKeyboard,,,2018-01-18 16:27:22,2018-01-18 16:27:24,1.888s,PASSED
setText,,,2018-01-18 16:27:24,2018-01-18 16:27:32,8.472s,PASSED
tap,,,2018-01-18 16:27:32,2018-01-18 16:27:35,2.896s,PASSED
verifyElementAttributeValue,,,2018-01-18 16:27:35,2018-01-18 16:28:06,30.535s,PASSED
closeApplication,,,2018-01-18 16:28:06,2018-01-18 16:28:10,4.515s,PASSED
