Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AutomationTest,Firefox 54.0,,2018-01-03 19:37:23,2018-01-03 19:38:36,1m - 13.515s,PASSED
,,,,,,
Test Cases/New Test Case,Firefox 54.0,,2018-01-03 19:37:23,2018-01-03 19:38:36,1m - 12.321s,PASSED
Statement - row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Firefox 54.0,,2018-01-03 19:37:25,2018-01-03 19:37:25,0.003s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(New Test Data for Test Case).getRowNumbers(), (row++)])",Firefox 54.0,,2018-01-03 19:37:25,2018-01-03 19:38:05,40.076s,PASSED
setText,Firefox 54.0,,2018-01-03 19:38:05,2018-01-03 19:38:06,0.933s,PASSED
setText,Firefox 54.0,,2018-01-03 19:38:06,2018-01-03 19:38:29,23.580s,PASSED
setText,Firefox 54.0,,2018-01-03 19:38:29,2018-01-03 19:38:30,0.892s,PASSED
setText,Firefox 54.0,,2018-01-03 19:38:30,2018-01-03 19:38:36,5.559s,PASSED
