Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AutomationTest,Chrome 63.0.3239.84,,2018-01-03 19:37:25,2018-01-03 19:38:42,1m - 17.025s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 63.0.3239.84,,2018-01-03 19:37:26,2018-01-03 19:38:41,1m - 15.468s,PASSED
Statement - row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 63.0.3239.84,,2018-01-03 19:37:27,2018-01-03 19:37:27,0.002s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(New Test Data for Test Case).getRowNumbers(), (row++)])",Chrome 63.0.3239.84,,2018-01-03 19:37:27,2018-01-03 19:37:41,14.089s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:37:41,2018-01-03 19:37:41,0.178s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:37:41,2018-01-03 19:38:15,34.038s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:38:15,2018-01-03 19:38:16,1.187s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 19:38:16,2018-01-03 19:38:41,24.816s,PASSED
