Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AutomationTestSuite1,Chrome 63.0.3239.84,,2018-01-08 19:04:33,2018-01-08 19:06:06,1m - 32.858s,PASSED
,,,,,,
Test Cases/TC01,Chrome 63.0.3239.84,,2018-01-08 19:04:33,2018-01-08 19:05:35,1m - 2.301s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(HRM_Login_Creds).getRowNumbers(), (row++)])",Chrome 63.0.3239.84,,2018-01-08 19:04:34,2018-01-08 19:05:35,1m - 1.807s,PASSED
,,,,,,
Test Cases/TC02,Chrome 63.0.3239.84,,2018-01-08 19:05:35,2018-01-08 19:06:05,29.409s,PASSED
Statement - row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 63.0.3239.84,,2018-01-08 19:05:36,2018-01-08 19:05:36,0.001s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(New Test Data for Test Case).getRowNumbers(), (row++)])",Chrome 63.0.3239.84,,2018-01-08 19:05:36,2018-01-08 19:05:44,8.360s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 19:05:44,2018-01-08 19:05:44,0.110s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 19:05:44,2018-01-08 19:06:01,17.132s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 19:06:01,2018-01-08 19:06:01,0.109s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-08 19:06:01,2018-01-08 19:06:05,3.516s,PASSED
