Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AutomationTestSuite1,Chrome 63.0.3239.132,,2018-01-18 17:13:47,2018-01-18 17:15:25,1m - 37.655s,PASSED
,,,,,,
Test Cases/TC01,Chrome 63.0.3239.132,,2018-01-18 17:13:48,2018-01-18 17:15:00,1m - 12.711s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(HRM_Login_Creds).getRowNumbers(), (row++)])",Chrome 63.0.3239.132,,2018-01-18 17:13:48,2018-01-18 17:15:00,1m - 12.107s,PASSED
,,,,,,
Test Cases/TC02,Chrome 63.0.3239.132,,2018-01-18 17:15:01,2018-01-18 17:15:24,23.747s,PASSED
Statement - row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 63.0.3239.132,,2018-01-18 17:15:01,2018-01-18 17:15:01,0.000s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(New Test Data for Test Case).getRowNumbers(), (row++)])",Chrome 63.0.3239.132,,2018-01-18 17:15:01,2018-01-18 17:15:08,7.628s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:15:08,2018-01-18 17:15:09,0.155s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:15:09,2018-01-18 17:15:21,11.995s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:15:21,2018-01-18 17:15:21,0.095s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 17:15:21,2018-01-18 17:15:24,3.673s,PASSED
,,,,,,
Test Cases/TC03,Chrome 63.0.3239.132,,2018-01-18 17:15:24,2018-01-18 17:15:24,0.118s,PASSED
Statement - return null,Chrome 63.0.3239.132,,2018-01-18 17:15:24,2018-01-18 17:15:24,0.001s,PASSED
