Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileTestSuite,,,2018-01-18 17:30:03,2018-01-18 17:32:29,2m - 26.084s,PASSED
,,,,,,
Test Cases/TC04,,,2018-01-18 17:30:03,2018-01-18 17:32:29,2m - 25.781s,PASSED
startApplication,,,2018-01-18 17:30:04,2018-01-18 17:31:28,1m - 23.982s,PASSED
tap,,,2018-01-18 17:31:28,2018-01-18 17:31:30,1.918s,PASSED
hideKeyboard,,,2018-01-18 17:31:30,2018-01-18 17:31:31,1.735s,PASSED
setText,,,2018-01-18 17:31:31,2018-01-18 17:31:39,7.493s,PASSED
tap,,,2018-01-18 17:31:39,2018-01-18 17:31:41,2.151s,PASSED
hideKeyboard,,,2018-01-18 17:31:41,2018-01-18 17:31:43,2.030s,PASSED
setText,,,2018-01-18 17:31:43,2018-01-18 17:31:51,7.994s,PASSED
tap,,,2018-01-18 17:31:51,2018-01-18 17:31:54,3.013s,PASSED
verifyElementAttributeValue,,,2018-01-18 17:31:54,2018-01-18 17:32:24,30.156s,PASSED
closeApplication,,,2018-01-18 17:32:24,2018-01-18 17:32:29,4.734s,PASSED
