Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileTestSuite,,,2018-01-18 18:25:50,2018-01-18 18:27:59,2m - 9.117s,FAILED
,,,,,,
Test Cases/TC04,,,2018-01-18 18:25:50,2018-01-18 18:27:53,2m - 2.368s,FAILED
startApplication,,,2018-01-18 18:25:51,2018-01-18 18:26:54,1m - 3.230s,PASSED
tap,,,2018-01-18 18:26:54,2018-01-18 18:26:56,2.196s,PASSED
hideKeyboard,,,2018-01-18 18:26:56,2018-01-18 18:27:00,3.177s,PASSED
setText,,,2018-01-18 18:27:00,2018-01-18 18:27:08,8.397s,PASSED
tap,,,2018-01-18 18:27:08,2018-01-18 18:27:10,1.895s,PASSED
hideKeyboard,,,2018-01-18 18:27:10,2018-01-18 18:27:12,1.964s,PASSED
setText,,,2018-01-18 18:27:12,2018-01-18 18:27:19,7.561s,PASSED
tap,,,2018-01-18 18:27:19,2018-01-18 18:27:22,2.771s,PASSED
verifyElementText,,,2018-01-18 18:27:22,2018-01-18 18:27:53,30.588s,FAILED
